ecosystem,package_name,has_malicious_version,has_malicious_datadog_version,has_malicious_osv_version,is_malicious_datadog_package,label_malicious,label
npm,000webhost-admin,False,False,False,True,True,malicious
npm,000webhost-analytics,False,False,False,True,True,malicious
npm,000webhost-api,False,False,False,True,True,malicious
npm,000webhost-api-client,False,False,False,True,True,malicious
npm,000webhost-auth,False,False,False,True,True,malicious
npm,000webhost-cache,False,False,False,True,True,malicious
npm,000webhost-checkout,False,False,False,True,True,malicious
npm,000webhost-cloud,False,False,False,True,True,malicious
npm,000webhost-connect,False,False,False,True,True,malicious
npm,000webhost-database,False,False,False,True,True,malicious
npm,0vulns-dependency-confusion-poc,False,False,False,True,True,malicious
npm,0x-smart-contracts,False,False,False,True,True,malicious
npm,1imit,False,False,False,True,True,malicious
npm,1inch-p2p-sdk,False,False,False,True,True,malicious
npm,1password-sdk-examples,False,False,False,True,True,malicious
npm,1password-sdk-exapmles,False,False,False,True,True,malicious
npm,1uniswapinterface,False,False,False,True,True,malicious
npm,1unitest,False,False,False,True,True,malicious
npm,32red-admin,False,False,False,True,True,malicious
npm,32red-analytics,False,False,False,True,True,malicious
npm,32red-api,False,False,False,True,True,malicious
npm,32red-api-client,False,False,False,True,True,malicious
npm,32red-auth,False,False,False,True,True,malicious
npm,32red-cache,False,False,False,True,True,malicious
npm,32red-checkout,False,False,False,True,True,malicious
npm,32red-cloud,False,False,False,True,True,malicious
npm,32red-connect,False,False,False,True,True,malicious
npm,32red-database,False,False,False,True,True,malicious
npm,3cx-call-control-apps,False,False,False,True,True,malicious
npm,4m-clean-shopify-app,False,False,False,True,True,malicious
npm,52471254zqdl55,False,False,False,True,True,malicious
npm,6sdgsd6s-control,False,False,False,True,True,malicious
npm,7702-eoa-implementation,False,False,False,True,True,malicious
npm,@0xengine/meow,False,False,False,True,True,malicious
npm,@0xengine/xmlrpc,False,False,False,True,True,malicious
npm,@0xme5war/apicli,False,False,False,True,True,malicious
npm,@0xobelisk/sui-cli,False,False,False,True,True,malicious
npm,@0xzyo/confutionrce,False,False,False,True,True,malicious
npm,@0xzyo111/frontend-logger,False,False,False,True,True,malicious
npm,@3kali182/angular-1.6,False,False,False,True,True,malicious
npm,@3kali182/selenium-webdriver4,False,False,False,True,True,malicious
npm,@abb-ux/commonux-web-components,False,False,False,True,True,malicious
npm,@abdallaeg/sap_access,False,False,False,True,True,malicious
npm,@abg-mec/fwk-fe-devcraft,False,False,False,True,True,malicious
npm,@accesshsc/access-forms-engine,False,False,False,True,True,malicious
npm,@accessibility-insights/eslint-plugin,False,False,False,True,True,malicious
npm,@account-portal/ui-toolkit-react,False,False,False,True,True,malicious
npm,@acitons/artifact,False,False,False,True,True,malicious
npm,@acme-types/acme-package,False,False,False,True,True,malicious
npm,@act-platform/app-sdk,False,False,False,True,True,malicious
npm,@add-wallet-exchange/import-type,False,False,False,True,True,malicious
npm,@add-wallet-exchange/reset,False,False,False,True,True,malicious
npm,@add-wallet-exchange/set-imported-csv-message,False,False,False,True,True,malicious
npm,@add-wallet-exchange/type-api-data,False,False,False,True,True,malicious
npm,@ads-core/types,False,False,False,True,True,malicious
npm,@adsk-forks/jsonpath,False,False,False,True,True,malicious
npm,@afound/common,False,False,False,True,True,malicious
npm,@aftersale/react-eva,False,False,False,True,True,malicious
npm,@ahmedhfarag/ngx-perfect-scrollbar,True,True,False,False,True,malicious
npm,@ahmedhfarag/ngx-virtual-scroller,True,True,False,False,True,malicious
npm,@ai-document-translation/ui-core,False,False,False,True,True,malicious
npm,@ai0x1337/budoux-extension,False,False,False,True,True,malicious
npm,@al-ui/useappinsights,False,False,False,True,True,malicious
npm,@alaska-its/design-tokens,False,False,False,True,True,malicious
npm,@alexandrsarioglo/npm-ghost-htb,False,False,False,True,True,malicious
npm,@amazon-bedrock-agents-healthcare-lifesciences/docs,False,False,False,True,True,malicious
npm,@amiga-fwk-nodejs/log,False,False,False,True,True,malicious
npm,@amiga-fwk-nodejs/metrics,False,False,False,True,True,malicious
npm,@amigatechdocs/core,False,False,False,True,True,malicious
npm,@aml-ark/ark-experience-byteplus,False,False,False,True,True,malicious
npm,@aml-ark/demo-house,False,False,False,True,True,malicious
npm,@angular_devkit/architect,False,False,False,True,True,malicious
npm,@angular_devkit/build-webpack,False,False,False,True,True,malicious
npm,@angular_devkit/build_angular,False,False,False,True,True,malicious
npm,@angular_devkit/core,False,False,False,True,True,malicious
npm,@apachesling/slingpackager,False,False,False,True,True,malicious
npm,@apachesling/slingpost,False,False,False,True,True,malicious
npm,@art-ws/common,True,True,False,False,True,malicious
npm,@art-ws/config-eslint,True,True,False,False,True,malicious
npm,@art-ws/config-ts,True,True,False,False,True,malicious
npm,@art-ws/db-context,True,True,False,False,True,malicious
npm,@art-ws/di,True,True,False,False,True,malicious
npm,@art-ws/di-node,True,True,False,False,True,malicious
npm,@art-ws/eslint,True,True,False,False,True,malicious
npm,@art-ws/fastify-http-server,True,True,False,False,True,malicious
npm,@art-ws/http-server,True,True,False,False,True,malicious
npm,@art-ws/openapi,True,True,False,False,True,malicious
npm,@art-ws/package-base,True,True,False,False,True,malicious
npm,@art-ws/prettier,True,True,False,False,True,malicious
npm,@art-ws/slf,True,True,False,False,True,malicious
npm,@art-ws/ssl-info,True,True,False,False,True,malicious
npm,@art-ws/web-app,True,True,False,False,True,malicious
npm,@asarioglo/ect-472839,False,False,False,True,True,malicious
npm,@asarioglo/npm-ghost-htb,False,False,False,True,True,malicious
npm,@atticuss-sra/test-pkg-x4,False,False,False,True,True,malicious
npm,@auro-formkit/config,False,False,False,True,True,malicious
npm,@aviatrixdev/flight-suit,False,False,False,True,True,malicious
npm,@awan_7715/model-viewer-space-opera,False,False,False,True,True,malicious
npm,@axaclient-socle-front/redux-helpers,False,False,False,True,True,malicious
npm,@axaclient-socle-front/webmodule,False,False,False,True,True,malicious
npm,@azet/api,False,False,False,True,True,malicious
npm,@azix058/design-system,False,False,False,True,True,malicious
npm,@ba-ui-toolkit/ba-graphics,False,False,False,True,True,malicious
npm,@bb-ui-utils/memoizer,False,False,False,True,True,malicious
npm,@bbkkfkk/pre,False,False,False,True,True,malicious
npm,@bgrc/kyc-theme,False,False,False,True,True,malicious
npm,@bh-ui/theme,False,False,False,True,True,malicious
npm,@biovia/amd-loader,False,False,False,True,True,malicious
npm,@blocks-shared/desktop-title,False,False,False,True,True,malicious
npm,@bmw-fedev/auth,False,False,False,True,True,malicious
npm,@bonk-sdk/ipfs,False,False,False,True,True,malicious
npm,@bonk-sdk/sha256,False,False,False,True,True,malicious
npm,@bs58-utils/wrapper,False,False,False,True,True,malicious
npm,@bugtestester/simple-web-app-package,False,False,False,True,True,malicious
npm,@bytedanc-ad/market-ui-vue2,False,False,False,True,True,malicious
npm,@bytedanc-ad/mui-react,False,False,False,True,True,malicious
npm,@bytedanc-ad/mui-vue3,False,False,False,True,True,malicious
npm,@bytedanc-ad/mui-wc,False,False,False,True,True,malicious
npm,@bytedanc/mona-client-web,False,False,False,True,True,malicious
npm,@bytedanc/mona-max,False,False,False,True,True,malicious
npm,@c11-lib-ts/document-handler,False,False,False,True,True,malicious
npm,@callcenter-frontend/api,False,False,False,True,True,malicious
npm,@callcenter-frontend/helpers,False,False,False,True,True,malicious
npm,@callcenter-frontend/services,False,False,False,True,True,malicious
npm,@callcenter-frontend/shared-types,False,False,False,True,True,malicious
npm,@callcenter-frontend/ui,False,False,False,True,True,malicious
npm,@callcenter-frontend/ui-components,False,False,False,True,True,malicious
npm,@capacitor-bmo/biometric,False,False,False,True,True,malicious
npm,@capacitor-bmo/common,False,False,False,True,True,malicious
npm,@captivateiq/events,False,False,False,True,True,malicious
npm,@captivateiq/handsontable-ciq,False,False,False,True,True,malicious
npm,@captivateiq/random,False,False,False,True,True,malicious
npm,@cat-ai/assistant-component,False,False,False,True,True,malicious
npm,@cawraytestorg/packagetest2,False,False,False,True,True,malicious
npm,@cb-global-design-system-tokens/tailwind,False,False,False,True,True,malicious
npm,@cbre-internal/mapping-component,False,False,False,True,True,malicious
npm,@ccv2/web_automation_golden,False,False,False,True,True,malicious
npm,@cewe-designsystem/component_modal,False,False,False,True,True,malicious
npm,@cf.cplace.platform/forms,False,False,False,True,True,malicious
